energy,health,age,alive,planet_temp,planet_weather,hazards_count,inventory_food,inventory_water,inventory_materials,inventory_tools,successful_hunts,escapes,builds,trades,reproductions,attacks,gathers,explorations,hazard_radiation,hazard_toxic_gases,hazard_heat_stroke,hazard_freezing,action,action_success,decision_reason,tick,timestamp
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,3,2025-05-12T06:37:58.853487
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,3,2025-05-12T06:37:58.859506
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,0,unknown,3,2025-05-12T06:37:58.862224
52,90,4,1,0,,0,9,9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,4,2025-05-12T06:37:58.865259
52,90,4,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,4,2025-05-12T06:37:58.870585
52,90,4,1,0,,0,9,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,4,2025-05-12T06:37:58.876781
55,92,5,1,0,,0,8,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.881268
55,92,5,1,0,,0,8,8,5,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.885429
55,92,5,1,0,,0,8,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.890003
58,94,6,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:58.900620
58,94,6,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:58.911976
58,94,6,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:58.923843
41,92,7,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,0,unknown,7,2025-05-12T06:37:58.939203
41,92,7,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,0,unknown,7,2025-05-12T06:37:58.957421
41,92,7,1,0,,0,7,7,9,0,0,0,0,0,0,0,0,2,0,0,0,0,EXPLORE,1,unknown,7,2025-05-12T06:37:58.990319
34,92,8,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.011836
34,92,8,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.083074
34,92,8,1,0,,0,7,7,9,0,0,0,0,0,0,0,0,2,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.107546
27,92,9,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,0,unknown,9,2025-05-12T06:37:59.120901
27,92,9,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,9,2025-05-12T06:37:59.156919
27,92,9,1,0,,0,7,7,9,0,0,0,0,0,0,0,0,2,0,0,0,0,HIDE,1,unknown,9,2025-05-12T06:37:59.179710
20,92,10,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,0,unknown,10,2025-05-12T06:37:59.299332
20,92,10,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,10,2025-05-12T06:37:59.355896
